Date,Mkt-RF,SMB,HML,RMW,CMA,RF
05-28-2015,-0.12,0.1,0.15,-0.22,0.1,0
05-29-2015,-0.58,0.05,0.05,-0.27,-0.04,0
06-01-2015,0.17,-0.05,-0.23,0.23,-0.32,0
06-02-2015,-0.02,0.32,0.35,-0.19,0.16,0
06-03-2015,0.39,0.87,-0.26,-0.15,-0.05,0
06-04-2015,-0.88,-0.09,0,0.18,-0.02,0
06-05-2015,0.06,0.84,0.09,-0.53,-0.37,0
06-08-2015,-0.66,0.04,0.01,0.05,0.07,0
06-09-2015,0.02,-0.28,0.37,0.15,0.1,0
06-10-2015,1.19,0.17,0.21,-0.04,0.06,0
06-11-2015,0.21,-0.08,-0.1,0.16,-0.03,0
06-12-2015,-0.63,0.35,0.12,0.07,0.12,0
06-15-2015,-0.45,0.16,-0.14,-0.21,-0.26,0
06-16-2015,0.57,0.11,-0.01,0.12,-0.06,0
06-17-2015,0.16,-0.31,-0.66,0.16,-0.12,0
06-18-2015,0.99,0.16,-0.45,-0.14,-0.19,0
06-19-2015,-0.43,0.52,-0.21,0.08,-0.06,0
06-22-2015,0.63,0.1,-0.06,-0.16,-0.25,0
06-23-2015,0.13,0.25,0.29,-0.1,-0.03,0
06-24-2015,-0.79,-0.14,0.13,0.16,0,0
06-25-2015,-0.25,0.33,-0.21,0.16,-0.08,0
06-26-2015,-0.06,-0.19,0.41,0.34,0.34,0
06-29-2015,-2.14,-0.42,0.17,0.33,0.11,0
06-30-2015,0.33,0.3,-0.66,-0.31,-0.66,0
07-01-2015,0.61,-0.75,-0.04,0.21,0.07,0
07-02-2015,-0.11,-0.61,-0.1,-0.05,0,0
07-06-2015,-0.37,0.1,-0.56,-0.2,-0.23,0
07-07-2015,0.53,-0.5,-0.28,0.44,0.02,0
07-08-2015,-1.68,-0.02,0.09,0.15,0.12,0
07-09-2015,0.29,0.16,0.02,-0.33,-0.29,0
07-10-2015,1.24,0.18,-0.52,-0.21,-0.11,0
07-13-2015,1.14,-0.11,-0.43,0.09,-0.27,0
07-14-2015,0.48,0.15,0.1,-0.29,-0.26,0
07-15-2015,-0.18,-0.8,-0.06,-0.22,-0.29,0
07-16-2015,0.77,-0.25,-0.64,-0.25,-0.66,0
07-17-2015,0.05,-0.68,-0.66,-0.24,-0.95,0
07-20-2015,-0.01,-0.78,-0.61,0.35,-0.29,0
07-21-2015,-0.46,0.07,0.3,-0.19,0,0
07-22-2015,-0.17,0.27,0.23,-0.38,0.08,0
07-23-2015,-0.58,-0.43,-0.31,-0.05,-0.05,0
07-24-2015,-1.09,-0.67,0.04,0.05,-0.05,0
07-27-2015,-0.74,-0.24,0.05,0.1,0.39,0
07-28-2015,1.23,-0.36,-0.14,0.01,0.14,0
07-29-2015,0.75,-0.24,0.53,0.95,0.32,0
07-30-2015,0.11,0.17,-0.27,0.12,-0.17,0
07-31-2015,-0.15,0.75,-1.01,0.26,-0.03,0
08-03-2015,-0.34,-0.33,-0.2,0.06,0.06,0
08-04-2015,-0.14,-0.01,-0.13,-0.03,0.23,0
08-05-2015,0.36,-0.11,-0.41,-0.02,-0.07,0
08-06-2015,-0.88,-0.34,1.93,0.32,0.81,0
08-07-2015,-0.36,-0.45,-0.3,0.27,0.09,0
08-10-2015,1.31,0.18,0.7,0.17,0.05,0
08-11-2015,-0.98,-0.07,0.42,0.15,0.09,0
08-12-2015,0.07,-0.19,-0.32,-0.11,-0.15,0
08-13-2015,-0.14,-0.44,0.08,0.13,-0.1,0
08-14-2015,0.43,0.14,0.44,-0.08,0.09,0
08-17-2015,0.6,0.34,-0.86,-0.21,-0.46,0
08-18-2015,-0.35,-0.61,0.37,0.36,0.07,0
08-19-2015,-0.85,-0.2,-0.22,-0.1,-0.03,0
08-20-2015,-2.24,-0.2,0.55,0.65,0.63,0
08-21-2015,-2.95,1.83,0.14,-0.71,0.82,0
08-24-2015,-3.91,0.28,-0.43,0.46,0.16,0
08-25-2015,-1.16,0.58,-0.6,-0.29,-0.64,0
08-26-2015,3.68,-1.42,-0.33,0.17,-0.68,0
08-27-2015,2.4,-0.63,0.61,-0.3,-0.21,0
08-28-2015,0.23,0.98,0.08,-0.25,0.06,0
08-31-2015,-0.74,0.9,1.42,0.09,0.51,0
09-01-2015,-2.91,0.24,-0.5,-0.03,0.07,0
09-02-2015,1.82,-0.3,-0.92,0.18,-0.7,0
09-03-2015,0.17,-0.2,0.75,0.33,0.75,0
09-04-2015,-1.39,0.83,-0.57,-0.07,-0.48,0
09-08-2015,2.52,-0.38,-0.58,-0.08,-0.29,0
09-09-2015,-1.34,0.16,0.15,0.21,0.04,0
09-10-2015,0.49,-0.18,-0.36,-0.21,-0.68,0
09-11-2015,0.44,-0.28,-0.69,-0.09,-0.33,0
09-14-2015,-0.41,0.02,0.04,-0.02,-0.06,0
09-15-2015,1.22,-0.16,0.27,0.01,0.08,0
09-16-2015,0.85,0.05,0.43,0.31,0.24,0
09-17-2015,-0.17,0.77,-1.49,-0.26,-0.5,0
09-18-2015,-1.62,0.31,-0.96,-0.42,-0.51,0
09-21-2015,0.36,-0.84,1.24,0.48,0.23,0
09-22-2015,-1.29,-0.29,0.13,0.3,0.08,0
09-23-2015,-0.27,-0.21,-0.15,-0.19,-0.28,0
09-24-2015,-0.36,0.28,0.52,-0.08,0.04,0
09-25-2015,-0.22,-1.45,1.87,0.53,0.68,0
09-28-2015,-2.63,-0.23,1.16,0.64,0.7,0
09-29-2015,-0.06,-0.61,0.7,0.71,0.59,0
09-30-2015,1.88,-0.5,-0.44,-0.43,-0.35,0
10-01-2015,0.13,-0.52,-0.06,-0.15,-0.2,0
10-02-2015,1.48,0.26,-0.84,-0.11,-0.05,0
10-05-2015,1.93,0.74,0.77,0.11,0.68,0
10-06-2015,-0.43,-0.08,1.64,0.34,0.59,0
10-07-2015,0.94,0.77,-0.24,-0.12,0.07,0
10-08-2015,0.85,0.34,0.74,0.52,0.75,0
10-09-2015,0.12,0.11,-1.08,0.14,-0.18,0
10-12-2015,0.06,-0.43,-0.08,0.11,-0.12,0
10-13-2015,-0.73,-0.67,0.66,0.33,0.19,0
10-14-2015,-0.6,-0.29,-0.07,-0.42,0.41,0
10-15-2015,1.56,0.62,-0.09,-1.07,-0.45,0
10-16-2015,0.36,-0.53,-0.32,0.04,0.01,0
10-19-2015,0,0.09,-0.68,0.15,-0.35,0
10-20-2015,-0.15,0.16,1.22,0.46,0.29,0
10-21-2015,-0.74,-0.89,-0.2,0.44,0.22,0
10-22-2015,1.5,-0.77,0.32,0.05,0.59,0
10-23-2015,1.09,-0.08,-0.57,0.21,-0.81,0
10-26-2015,-0.2,-0.45,-0.72,0.21,-0.15,0
10-27-2015,-0.42,-1.06,-0.93,-0.42,-0.5,0
10-28-2015,1.43,1.51,0.68,-0.7,-0.16,0
10-29-2015,-0.2,-0.84,-0.06,0.36,-0.3,0
10-30-2015,-0.42,0.18,-0.57,0.37,0.07,0
11-02-2015,1.25,0.9,-0.02,-0.53,-0.08,0
11-03-2015,0.33,0.43,0.24,0.04,-0.11,0
11-04-2015,-0.25,0.16,-0.32,-0.63,-0.71,0
11-05-2015,-0.07,0.04,0.49,0.02,0.14,0
11-06-2015,0.14,0.93,0.33,-0.53,-0.11,0
11-09-2015,-0.95,-0.31,-0.04,-0.63,-0.09,0
11-10-2015,0.13,0,0.22,-0.14,0.22,0
11-11-2015,-0.43,-0.55,-0.18,-0.08,0.07,0
11-12-2015,-1.45,-0.58,-0.41,0.15,-0.3,0
11-13-2015,-1.06,0.34,0.36,-0.56,0.44,0
11-16-2015,1.39,-0.55,0.48,0.19,-0.13,0
11-17-2015,-0.11,-0.23,-0.64,0,-0.17,0
11-18-2015,1.61,-0.03,-0.08,-0.12,-0.4,0
11-19-2015,-0.13,-0.28,-0.17,0.18,0.15,0
11-20-2015,0.36,0.39,-0.39,0.29,0.02,0
11-23-2015,-0.01,0.6,-0.35,0.09,-0.16,0
11-24-2015,0.21,0.74,0.25,0.18,0.08,0
11-25-2015,0.07,0.85,-0.55,-0.09,-0.1,0
11-27-2015,0.09,0.21,-0.29,-0.16,0.09,0
11-30-2015,-0.48,0.19,0.67,-0.24,0.09,0
12-01-2015,0.97,-0.64,0.25,-0.09,-0.15,0
12-02-2015,-1.01,0.19,-0.7,0.05,-0.15,0
12-03-2015,-1.5,-0.18,0.4,0.32,0.24,0
12-04-2015,1.87,-1.03,-0.48,0.13,-0.31,0
12-07-2015,-0.83,-0.88,-0.68,0.69,0.16,0
12-08-2015,-0.58,0.25,-1.2,-0.16,-0.78,0
12-09-2015,-0.83,-0.23,0.39,0.51,0.62,0
12-10-2015,0.3,0.11,-0.23,0.15,-0.21,0
12-11-2015,-2.02,-0.21,-0.06,0.19,0.35,0
12-14-2015,0.29,-1.11,-0.17,0.1,-0.39,0
12-15-2015,1.1,0.22,0.79,-0.77,0.14,0
12-16-2015,1.47,0.02,-0.68,-0.13,-0.17,0
12-17-2015,-1.46,0.33,-0.36,-0.23,-0.1,0
12-18-2015,-1.69,0.69,-0.37,-0.3,0.21,0
12-21-2015,0.74,-0.18,-0.07,-0.14,0.08,0
12-22-2015,0.89,0.01,0.51,0.21,0.52,0
12-23-2015,1.29,0.21,0.57,-0.01,0.11,0
12-24-2015,-0.11,0.27,-0.02,-0.22,0.12,0
12-28-2015,-0.28,-0.54,-0.36,0.08,-0.08,0
12-29-2015,1.05,0.03,-0.28,0.01,-0.35,0
12-30-2015,-0.74,-0.18,-0.15,0.05,0.16,0
12-31-2015,-0.92,-0.22,0.23,-0.12,0.08,0
01-04-2016,-1.59,-0.77,0.52,0.35,0.42,0
01-05-2016,0.13,-0.22,0,0.08,0.28,0
01-06-2016,-1.35,-0.23,0.01,0.13,0.03,0
01-07-2016,-2.44,-0.28,0.08,0.5,0.39,0
01-08-2016,-1.11,-0.52,-0.03,0.24,0.06,0
01-11-2016,-0.06,-0.62,0.4,0.64,0.44,0
01-12-2016,0.72,-0.49,-0.78,-0.1,-0.34,0
01-13-2016,-2.66,-0.59,0.8,0.41,0.73,0
01-14-2016,1.65,-0.04,-0.41,-0.59,-0.45,0
01-15-2016,-2.13,0.41,-0.22,0.36,0.35,0
01-19-2016,-0.19,-1.37,-0.07,0.35,0.26,0
01-20-2016,-0.94,1.7,-1.26,0.08,-0.58,0
01-21-2016,0.45,-0.48,-0.02,0.49,0.64,0
01-22-2016,2.08,0.12,-0.19,-0.48,-0.73,0
01-25-2016,-1.7,-0.53,-0.98,0.35,-0.04,0
01-26-2016,1.52,0.62,1.18,0.64,0.71,0
01-27-2016,-1.11,-0.4,1.7,-0.19,1.09,0
01-28-2016,0.49,-0.56,1.26,-0.29,-0.48,0
01-29-2016,2.57,0.61,0.42,0,0.49,0
02-01-2016,-0.04,-0.31,-1,0.08,-0.41,0.001
02-02-2016,-2,-0.15,-0.36,0.28,0.35,0.001
02-03-2016,0.46,-0.24,0.45,0.41,0.36,0.001
02-04-2016,0.27,0.3,0.35,0.24,0.14,0.001
02-05-2016,-2.06,-0.7,1.63,1.01,1.39,0.001
02-08-2016,-1.51,0.15,0.83,1.69,0.91,0.001
02-09-2016,-0.08,-0.56,-0.29,-0.03,0.03,0.001
02-10-2016,0.01,-0.21,-0.55,-0.29,-0.78,0.001
02-11-2016,-1.17,0.28,-1.47,0.38,-0.38,0.001
02-12-2016,1.98,-0.25,1.09,-0.4,0.36,0.001
02-16-2016,1.78,0.51,-0.52,-0.02,-0.28,0.001
02-17-2016,1.74,-0.15,-0.65,-0.39,-0.46,0.001
02-18-2016,-0.51,-0.02,0.22,0.39,0.53,0.001
02-19-2016,0.06,0.29,-0.58,-0.65,-0.39,0.001
02-22-2016,1.43,-0.19,0.26,0.25,-0.25,0.001
02-23-2016,-1.21,0.37,-0.5,0.76,0.46,0.001
02-24-2016,0.54,0.65,-0.29,-0.03,0.1,0.001
02-25-2016,1.1,-0.45,0.22,-0.06,-0.25,0.001
02-26-2016,-0.02,0.86,0.29,-0.56,0.03,0.001
02-29-2016,-0.69,0.7,0.25,0.15,0.43,0.001
03-01-2016,2.34,-0.66,0.39,-0.59,-0.59,0.001
03-02-2016,0.54,0.6,0.68,-0.71,-0.13,0.001
03-03-2016,0.5,0.58,0.65,0.28,0.37,0.001
03-04-2016,0.37,0.34,0.28,0.1,0.06,0.001
03-07-2016,0.21,1.31,0.55,-0.48,0.44,0.001
03-08-2016,-1.27,-1.28,-0.47,0.66,0.14,0.001
03-09-2016,0.5,0.1,0.41,0.24,0.15,0.001
03-10-2016,-0.1,-0.77,0.62,0.31,0.2,0.001
03-11-2016,1.69,0.31,0.23,-0.42,-0.35,0.001
03-14-2016,-0.13,-0.16,-0.9,-0.02,-0.25,0.001
03-15-2016,-0.35,-1.47,0.69,0.43,0.1,0.001
03-16-2016,0.63,0.11,-0.09,0.59,-0.05,0.001
03-17-2016,0.71,0.96,0.59,0.12,0.69,0.001
03-18-2016,0.54,0.45,-0.14,-0.23,0.19,0.001
03-21-2016,0.1,-0.29,-0.33,-0.09,-0.33,0.001
03-22-2016,-0.05,-0.09,-0.45,-0.32,-0.26,0.001
03-23-2016,-0.85,-1.2,-0.16,0.68,0.01,0.001
03-24-2016,0,0.45,-0.06,0.05,0,0.001
03-28-2016,0.04,-0.03,0.16,-0.04,0.24,0.001
03-29-2016,1.07,1.67,-1.19,0.2,-0.58,0.001
03-30-2016,0.41,-0.27,0.16,-0.07,0.05,0.001
03-31-2016,-0.11,0.42,-0.49,-0.11,-0.12,0.001
04-01-2016,0.64,-0.34,-0.63,-0.38,-0.17,0
04-04-2016,-0.41,-0.29,-0.78,-0.25,-0.2,0
04-05-2016,-0.94,-0.18,-0.38,0.09,0.17,0
04-06-2016,1.14,0.1,-0.76,-0.54,-0.66,0
04-07-2016,-1.23,-0.1,-0.38,-0.01,0.19,0
04-08-2016,0.29,0.13,0.68,0.37,0.31,0
04-11-2016,-0.29,-0.01,0.95,-0.01,0.31,0
04-12-2016,0.99,0.01,0.88,0.03,-0.12,0
04-13-2016,1.23,0.98,0.38,-0.48,-0.36,0
04-14-2016,0.03,-0.24,0.14,-0.35,-0.12,0
04-15-2016,-0.04,0.3,-0.34,0.23,0.15,0
04-18-2016,0.65,0.15,-0.19,-0.16,-0.07,0
04-19-2016,0.28,-0.19,1.48,-0.2,0.36,0
04-20-2016,0.15,-0.01,0.58,-0.29,-0.12,0
04-21-2016,-0.48,-0.02,-0.6,-0.6,-0.34,0
04-22-2016,0.12,1.03,0.51,-0.08,0.93,0
04-25-2016,-0.24,-0.66,-0.18,0.11,-0.17,0
04-26-2016,0.29,0.83,0.81,0.3,0.6,0
04-27-2016,0.21,0.19,0.7,-0.18,0.75,0
04-28-2016,-0.96,-0.19,-0.02,-0.48,0.57,0
04-29-2016,-0.5,-0.21,0.36,0.06,-0.25,0
05-02-2016,0.79,0,-0.38,0.03,-0.12,0.001
05-03-2016,-1.05,-0.73,-0.45,0.53,0.04,0.001
05-04-2016,-0.66,-0.16,0.05,0.51,0.26,0.001
05-05-2016,-0.08,-0.52,0.06,0.13,-0.01,0.001
05-06-2016,0.38,0.06,0.24,0.18,0.25,0.001
05-09-2016,0.05,0.21,-1.46,0.13,-0.49,0.001
05-10-2016,1.26,-0.38,0.5,-0.15,0.05,0.001
