Date,Date,,,,,,Price
02-02-2023,2,,,2,2023,2/2/2023,204.8
02-01-2023,2,,,1,2023,1/2/2023,197.8
01/31/2023,1,31,2023,,,31/1/2023,198.8
01/30/2023,1,30,2023,,,30/1/2023,193.9
01/27/2023,1,27,2023,,,27/1/2023,192.3
01/26/2023,1,26,2023,,,26/1/2023,197.5
01/25/2023,1,25,2023,,,25/1/2023,196.7
01/24/2023,1,24,2023,,,24/1/2023,201.8
01/23/2023,1,23,2023,,,23/1/2023,202.9
01/20/2023,1,20,2023,,,20/1/2023,202.1
01/19/2023,1,19,2023,,,19/1/2023,201.1
01/18/2023,1,18,2023,,,18/1/2023,210.6
01/17/2023,1,17,2023,,,17/1/2023,213.9
01/16/2023,1,16,2023,,,16/1/2023,216.2
01/13/2023,1,13,2023,,,13/1/2023,214.3
01-12-2023,1,,,12,2023,12/1/2023,213.9
01-11-2023,1,,,11,2023,11/1/2023,210.7
01-10-2023,1,,,10,2023,10/1/2023,198.7
01-09-2023,1,,,9,2023,9/1/2023,202.9
01-06-2023,1,,,6,2023,6/1/2023,200.1
01-05-2023,1,,,5,2023,5/1/2023,194.6
01-04-2023,1,,,4,2023,4/1/2023,191.6
01-03-2023,1,,,3,2023,3/1/2023,200.8
01-02-2023,1,,,2,2023,2/1/2023,201.7
12/30/2022,12,30,2022,,,30/12/2022,202.1
12/29/2022,12,29,2022,,,29/12/2022,203.8
12/28/2022,12,28,2022,,,28/12/2022,199.7
12/27/2022,12,27,2022,,,27/12/2022,201.2
12/23/2022,12,23,2022,,,23/12/2022,198.2
12/22/2022,12,22,2022,,,22/12/2022,196.2
12/21/2022,12,21,2022,,,21/12/2022,193.8
12/20/2022,12,20,2022,,,20/12/2022,191
12/19/2022,12,19,2022,,,19/12/2022,196.8
12/16/2022,12,16,2022,,,16/12/2022,193.6
12/15/2022,12,15,2022,,,15/12/2022,201.6
12/14/2022,12,14,2022,,,14/12/2022,205.9
12/13/2022,12,13,2022,,,13/12/2022,205.4
12-12-2022,12,,,12,2022,12/12/2022,202.8
12-09-2022,12,,,9,2022,9/12/2022,203.3
12-08-2022,12,,,8,2022,8/12/2022,191
12-07-2022,12,,,7,2022,7/12/2022,185.7
12-06-2022,12,,,6,2022,6/12/2022,187
12-05-2022,12,,,5,2022,5/12/2022,189
12-02-2022,12,,,2,2022,2/12/2022,184.1
12-01-2022,12,,,1,2022,1/12/2022,181.2
11/30/2022,11,30,2022,,,30/11/2022,179.5
11/29/2022,11,29,2022,,,29/11/2022,176.1
11/28/2022,11,28,2022,,,28/11/2022,174.9
11/25/2022,11,25,2022,,,25/11/2022,178.5
11/24/2022,11,24,2022,,,24/11/2022,182.5
11/23/2022,11,23,2022,,,23/11/2022,177.5
11/22/2022,11,22,2022,,,22/11/2022,174.1
11/21/2022,11,21,2022,,,21/11/2022,169.5
11/18/2022,11,18,2022,,,18/11/2022,173.3
11/17/2022,11,17,2022,,,17/11/2022,174.8
11/16/2022,11,16,2022,,,16/11/2022,174
11/15/2022,11,15,2022,,,15/11/2022,180.9
11/14/2022,11,14,2022,,,14/11/2022,176
11-11-2022,11,,,11,2022,11/11/2022,182.7
11-10-2022,11,,,10,2022,10/11/2022,187.3
11-09-2022,11,,,9,2022,9/11/2022,167.5
11-08-2022,11,,,8,2022,8/11/2022,168.2
11-07-2022,11,,,7,2022,7/11/2022,161.2
11-04-2022,11,,,4,2022,4/11/2022,154.4
11-03-2022,11,,,3,2022,3/11/2022,159.7
11-02-2022,11,,,2,2022,2/11/2022,157
11-01-2022,11,,,1,2022,1/11/2022,150
10/31/2022,10,31,2022,,,31/10/2022,148.4
10/28/2022,10,28,2022,,,28/10/2022,148.6
10/27/2022,10,27,2022,,,27/10/2022,151.5
10/26/2022,10,26,2022,,,26/10/2022,151.6
10/25/2022,10,25,2022,,,25/10/2022,143
10/24/2022,10,24,2022,,,24/10/2022,143.4
10/21/2022,10,21,2022,,,21/10/2022,140.2
10/20/2022,10,20,2022,,,20/10/2022,141.8
10/19/2022,10,19,2022,,,19/10/2022,144.4
10/18/2022,10,18,2022,,,18/10/2022,145.8
10/17/2022,10,17,2022,,,17/10/2022,141.6
10/14/2022,10,14,2022,,,14/10/2022,140.8
10/13/2022,10,13,2022,,,13/10/2022,134.9
10-12-2022,10,,,12,2022,12/10/2022,135
10-11-2022,10,,,11,2022,11/10/2022,135
10-10-2022,10,,,10,2022,10/10/2022,137.2
10-07-2022,10,,,7,2022,7/10/2022,138.4
10-06-2022,10,,,6,2022,6/10/2022,141.2
10-05-2022,10,,,5,2022,5/10/2022,143.6
10-04-2022,10,,,4,2022,4/10/2022,149.1
10-03-2022,10,,,3,2022,3/10/2022,141.2
09/30/2022,9,30,2022,,,30/9/2022,141.6
09/29/2022,9,29,2022,,,29/9/2022,138.9
09/28/2022,9,28,2022,,,28/9/2022,147.1
09/27/2022,9,27,2022,,,27/9/2022,149
09/26/2022,9,26,2022,,,26/9/2022,148.1
09/23/2022,9,23,2022,,,23/9/2022,149.9
09/22/2022,9,22,2022,,,22/9/2022,150.3
09/21/2022,9,21,2022,,,21/9/2022,157
09/20/2022,9,20,2022,,,20/9/2022,151
09/19/2022,9,19,2022,,,19/9/2022,154.7
09/16/2022,9,16,2022,,,16/9/2022,162.8
09/15/2022,9,15,2022,,,15/9/2022,168.5
09/14/2022,9,14,2022,,,14/9/2022,173.5
09/13/2022,9,13,2022,,,13/9/2022,175.5
09-12-2022,9,,,12,2022,12/9/2022,183.3
09-09-2022,9,,,9,2022,9/9/2022,182.1
09-08-2022,9,,,8,2022,8/9/2022,182.1
09-07-2022,9,,,7,2022,7/9/2022,177.7
09-06-2022,9,,,6,2022,6/9/2022,175.6
09-05-2022,9,,,5,2022,5/9/2022,183.9
09-02-2022,9,,,2,2022,2/9/2022,180
09-01-2022,9,,,1,2022,1/9/2022,174.8
08/31/2022,8,31,2022,,,31/8/2022,186.4
08/30/2022,8,30,2022,,,30/8/2022,187
08/29/2022,8,29,2022,,,29/8/2022,183.4
08/26/2022,8,26,2022,,,26/8/2022,190.2
08/25/2022,8,25,2022,,,25/8/2022,192.9
08/24/2022,8,24,2022,,,24/8/2022,188.9
08/23/2022,8,23,2022,,,23/8/2022,186.6
08/22/2022,8,22,2022,,,22/8/2022,187.9
08/19/2022,8,19,2022,,,19/8/2022,191.6
08/18/2022,8,18,2022,,,18/8/2022,191
08/17/2022,8,17,2022,,,17/8/2022,194.9
08/16/2022,8,16,2022,,,16/8/2022,189.6
08/15/2022,8,15,2022,,,15/8/2022,190.7
08-12-2022,8,,,12,2022,12/8/2022,192.8
08-11-2022,8,,,11,2022,11/8/2022,200.1
08-10-2022,8,,,10,2022,10/8/2022,198
08-09-2022,8,,,9,2022,9/8/2022,182
08-08-2022,8,,,8,2022,8/8/2022,186
08-05-2022,8,,,5,2022,5/8/2022,194.4
08-04-2022,8,,,4,2022,4/8/2022,189.5
08-03-2022,8,,,3,2022,3/8/2022,184.4
08-02-2022,8,,,2,2022,2/8/2022,188
08-01-2022,8,,,1,2022,1/8/2022,186
07/29/2022,7,29,2022,,,29/7/2022,189.5
07/28/2022,7,28,2022,,,28/7/2022,186.6
07/27/2022,7,27,2022,,,27/7/2022,161
07/26/2022,7,26,2022,,,26/7/2022,161.3
07/25/2022,7,25,2022,,,25/7/2022,170.4
07/22/2022,7,22,2022,,,22/7/2022,175
07/21/2022,7,21,2022,,,21/7/2022,167.8
07/20/2022,7,20,2022,,,20/7/2022,170.6
07/19/2022,7,19,2022,,,19/7/2022,166
07/18/2022,7,18,2022,,,18/7/2022,166.6
07/15/2022,7,15,2022,,,15/7/2022,161.8
07/14/2022,7,14,2022,,,14/7/2022,167.2
07/13/2022,7,13,2022,,,13/7/2022,172
07-12-2022,7,,,12,2022,12/7/2022,175.6
07-11-2022,7,,,11,2022,11/7/2022,171.9
07-08-2022,7,,,8,2022,8/7/2022,170.9
07-07-2022,7,,,7,2022,7/7/2022,166.7
07-06-2022,7,,,6,2022,6/7/2022,159.8
07-05-2022,7,,,5,2022,5/7/2022,157
07-04-2022,7,,,4,2022,4/7/2022,154.9
07-01-2022,7,,,1,2022,1/7/2022,154
06/30/2022,6,30,2022,,,30/6/2022,149.9
06/29/2022,6,29,2022,,,29/6/2022,158.6
06/28/2022,6,28,2022,,,28/6/2022,167.4
06/27/2022,6,27,2022,,,27/6/2022,168.1
06/24/2022,6,24,2022,,,24/6/2022,164.5
06/23/2022,6,23,2022,,,23/6/2022,168.1
06/22/2022,6,22,2022,,,22/6/2022,174.6
06/21/2022,6,21,2022,,,21/6/2022,174.2
06/20/2022,6,20,2022,,,20/6/2022,171.6
06/17/2022,6,17,2022,,,17/6/2022,162.3
06/16/2022,6,16,2022,,,16/6/2022,161.5
06/15/2022,6,15,2022,,,15/6/2022,162.1
06/14/2022,6,14,2022,,,14/6/2022,160.3
06/13/2022,6,13,2022,,,13/6/2022,163.2
06-10-2022,6,,,10,2022,10/6/2022,175.5
06-09-2022,6,,,9,2022,9/6/2022,179.8
06-08-2022,6,,,8,2022,8/6/2022,182.6
06-07-2022,6,,,7,2022,7/6/2022,181.7
06-03-2022,6,,,3,2022,3/6/2022,174.5
06-02-2022,6,,,2,2022,2/6/2022,175.4
06-01-2022,6,,,1,2022,1/6/2022,176.2
05/31/2022,5,31,2022,,,31/5/2022,177.1
05/30/2022,5,30,2022,,,30/5/2022,179.6
05/25/2022,5,25,2022,,,25/5/2022,168.1
05/24/2022,5,24,2022,,,24/5/2022,170.2
05/23/2022,5,23,2022,,,23/5/2022,164.1
05/20/2022,5,20,2022,,,20/5/2022,156.7
05/19/2022,5,19,2022,,,19/5/2022,157.4
05/18/2022,5,18,2022,,,18/5/2022,156.8
05/17/2022,5,17,2022,,,17/5/2022,152.7
05/16/2022,5,16,2022,,,16/5/2022,149.6
05-12-2022,5,,,12,2022,12/5/2022,148.1
05-11-2022,5,,,11,2022,11/5/2022,155
05-10-2022,5,,,10,2022,10/5/2022,151.7
05-09-2022,5,,,9,2022,9/5/2022,153.7
05-06-2022,5,,,6,2022,6/5/2022,164.6
05-05-2022,5,,,5,2022,5/5/2022,173.2
05-04-2022,5,,,4,2022,4/5/2022,173.9
05-03-2022,5,,,3,2022,3/5/2022,174.3
05-02-2022,5,,,2,2022,2/5/2022,168.5
04/29/2022,4,29,2022,,,29/4/2022,182.8
04/28/2022,4,28,2022,,,28/4/2022,177.2
04/27/2022,4,27,2022,,,27/4/2022,179.6
04/26/2022,4,26,2022,,,26/4/2022,177.9
04/25/2022,4,25,2022,,,25/4/2022,189.7
04/22/2022,4,22,2022,,,22/4/2022,193.9
04/21/2022,4,21,2022,,,21/4/2022,201.4
04/20/2022,4,20,2022,,,20/4/2022,208.6
04/19/2022,4,19,2022,,,19/4/2022,203.3
04/13/2022,4,13,2022,,,13/4/2022,200.3
04-12-2022,4,,,12,2022,12/4/2022,202.4
04-11-2022,4,,,11,2022,11/4/2022,210.4
04-08-2022,4,,,8,2022,8/4/2022,213.8
04-07-2022,4,,,7,2022,7/4/2022,208.8
04-06-2022,4,,,6,2022,6/4/2022,210.6
04-05-2022,4,,,5,2022,5/4/2022,217.5
04-04-2022,4,,,4,2022,4/4/2022,200.3
04-01-2022,4,,,1,2022,1/4/2022,210.1
03/31/2022,3,31,2022,,,31/3/2022,199.8
03/30/2022,3,30,2022,,,30/3/2022,200.9
03/29/2022,3,29,2022,,,29/3/2022,190.1
03/28/2022,3,28,2022,,,28/3/2022,187.6
03/25/2022,3,25,2022,,,25/3/2022,190.5
03/24/2022,3,24,2022,,,24/3/2022,191.9
03/23/2022,3,23,2022,,,23/3/2022,195.2
03/22/2022,3,22,2022,,,22/3/2022,202
03/21/2022,3,21,2022,,,21/3/2022,204.1
03/18/2022,3,18,2022,,,18/3/2022,208.4
03/17/2022,3,17,2022,,,17/3/2022,209.8
03/16/2022,3,16,2022,,,16/3/2022,204.1
03/15/2022,3,15,2022,,,15/3/2022,197.6
03/14/2022,3,14,2022,,,14/3/2022,204
03-11-2022,3,,,11,2022,11/3/2022,214.2
03-10-2022,3,,,10,2022,10/3/2022,209.2
03-09-2022,3,,,9,2022,9/3/2022,220.5
03-08-2022,3,,,8,2022,8/3/2022,235.4
03-07-2022,3,,,7,2022,7/3/2022,213
03-04-2022,3,,,4,2022,4/3/2022,195.7
03-03-2022,3,,,3,2022,3/3/2022,195.6
03-02-2022,3,,,2,2022,2/3/2022,201.7
03-01-2022,3,,,1,2022,1/3/2022,214.4
02/28/2022,2,28,2022,,,28/2/2022,217.5
02/25/2022,2,25,2022,,,25/2/2022,188.9
02/24/2022,2,24,2022,,,24/2/2022,180.3
02/23/2022,2,23,2022,,,23/2/2022,161.8
02/22/2022,2,22,2022,,,22/2/2022,162.6
02/21/2022,2,21,2022,,,21/2/2022,162.6
02/18/2022,2,18,2022,,,18/2/2022,164.3
02/17/2022,2,17,2022,,,17/2/2022,170.9
02/16/2022,2,16,2022,,,16/2/2022,172.4
02/15/2022,2,15,2022,,,15/2/2022,175
02/14/2022,2,14,2022,,,14/2/2022,162.8
02-11-2022,2,,,11,2022,11/2/2022,166.8
02-10-2022,2,,,10,2022,10/2/2022,164.2
02-09-2022,2,,,9,2022,9/2/2022,168.5
02-08-2022,2,,,8,2022,8/2/2022,160.9
02-07-2022,2,,,7,2022,7/2/2022,166
02-04-2022,2,,,4,2022,4/2/2022,166.3
02-03-2022,2,,,3,2022,3/2/2022,168.8
02-02-2022,2,,,2,2022,2/2/2022,174.1
02-01-2022,2,,,1,2022,1/2/2022,170
01/31/2022,1,31,2022,,,31/1/2022,176.9
01/28/2022,1,28,2022,,,28/1/2022,168.1
01/27/2022,1,27,2022,,,27/1/2022,175
01/26/2022,1,26,2022,,,26/1/2022,175.7
01/25/2022,1,25,2022,,,25/1/2022,166.1
01/24/2022,1,24,2022,,,24/1/2022,174
01/21/2022,1,21,2022,,,21/1/2022,176.2
01/20/2022,1,20,2022,,,20/1/2022,193.7
01/19/2022,1,19,2022,,,19/1/2022,182.6
01/18/2022,1,18,2022,,,18/1/2022,182.3
01/17/2022,1,17,2022,,,17/1/2022,185.1
01/14/2022,1,14,2022,,,14/1/2022,183.6
01/13/2022,1,13,2022,,,13/1/2022,187.3
01-12-2022,1,,,12,2022,12/1/2022,183.6
01-11-2022,1,,,11,2022,11/1/2022,182.6
01-10-2022,1,,,10,2022,10/1/2022,180.3
01-07-2022,1,,,7,2022,7/1/2022,182.2
01-06-2022,1,,,6,2022,6/1/2022,187.7
01-05-2022,1,,,5,2022,5/1/2022,196.8
01-04-2022,1,,,4,2022,4/1/2022,198.8
01-03-2022,1,,,3,2022,3/1/2022,198.3
12/30/2021,12,30,2021,,,30/12/2021,200
12/29/2021,12,29,2021,,,29/12/2021,195.5
12/28/2021,12,28,2021,,,28/12/2021,193.9
12/27/2021,12,27,2021,,,27/12/2021,198.1
12/23/2021,12,23,2021,,,23/12/2021,196
12/22/2021,12,22,2021,,,22/12/2021,193.9
12/21/2021,12,21,2021,,,21/12/2021,192.2
12/20/2021,12,20,2021,,,20/12/2021,190.2
12/17/2021,12,17,2021,,,17/12/2021,194.2
12/16/2021,12,16,2021,,,16/12/2021,198.2
12/15/2021,12,15,2021,,,15/12/2021,194.1
12/14/2021,12,14,2021,,,14/12/2021,193.6
12/13/2021,12,13,2021,,,13/12/2021,204.1
12-10-2021,12,,,10,2021,10/12/2021,205.3
12-09-2021,12,,,9,2021,9/12/2021,211.9
12-08-2021,12,,,8,2021,8/12/2021,215
12-07-2021,12,,,7,2021,7/12/2021,215.2
12-06-2021,12,,,6,2021,6/12/2021,202.7
12-03-2021,12,,,3,2021,3/12/2021,203
12-02-2021,12,,,2,2021,2/12/2021,207.5
12-01-2021,12,,,1,2021,1/12/2021,217.9
11/30/2021,11,30,2021,,,30/11/2021,220
11/29/2021,11,29,2021,,,29/11/2021,221.5
11/26/2021,11,26,2021,,,26/11/2021,223.8
11/25/2021,11,25,2021,,,25/11/2021,225.4
11/24/2021,11,24,2021,,,24/11/2021,213.7
11/23/2021,11,23,2021,,,23/11/2021,212.3
11/22/2021,11,22,2021,,,22/11/2021,219
11/19/2021,11,19,2021,,,19/11/2021,224.7
11/18/2021,11,18,2021,,,18/11/2021,232.4
11/17/2021,11,17,2021,,,17/11/2021,231.9
11/16/2021,11,16,2021,,,16/11/2021,230.8
11/15/2021,11,15,2021,,,15/11/2021,232
11-12-2021,11,,,12,2021,12/11/2021,238.1
11-11-2021,11,,,11,2021,11/11/2021,230.9
11-10-2021,11,,,10,2021,10/11/2021,230.5
11-09-2021,11,,,9,2021,9/11/2021,223.1
11-08-2021,11,,,8,2021,8/11/2021,224
11-05-2021,11,,,5,2021,5/11/2021,210
11-04-2021,11,,,4,2021,4/11/2021,220.1
11-03-2021,11,,,3,2021,3/11/2021,218
11-02-2021,11,,,2,2021,2/11/2021,266.5
11-01-2021,11,,,1,2021,1/11/2021,278.9
10/29/2021,10,29,2021,,,29/10/2021,278.3
10/28/2021,10,28,2021,,,28/10/2021,279.7
10/27/2021,10,27,2021,,,27/10/2021,273.5
10/26/2021,10,26,2021,,,26/10/2021,273
10/25/2021,10,25,2021,,,25/10/2021,269.9
10/22/2021,10,22,2021,,,22/10/2021,274.3
10/21/2021,10,21,2021,,,21/10/2021,271.9
10/20/2021,10,20,2021,,,20/10/2021,266.7
10/19/2021,10,19,2021,,,19/10/2021,252.1
10/18/2021,10,18,2021,,,18/10/2021,249.2
10/15/2021,10,15,2021,,,15/10/2021,252
10/14/2021,10,14,2021,,,14/10/2021,244
10/13/2021,10,13,2021,,,13/10/2021,247.1
10-12-2021,10,,,12,2021,12/10/2021,235.8
10-11-2021,10,,,11,2021,11/10/2021,224.1
10-08-2021,10,,,8,2021,8/10/2021,222.5
10-07-2021,10,,,7,2021,7/10/2021,229.7
10-06-2021,10,,,6,2021,6/10/2021,233.4
10-05-2021,10,,,5,2021,5/10/2021,230.2
10-04-2021,10,,,4,2021,4/10/2021,230.2
10-01-2021,10,,,1,2021,1/10/2021,248.2
09/30/2021,9,30,2021,,,30/9/2021,257.5
09/29/2021,9,29,2021,,,29/9/2021,266.3
09/28/2021,9,28,2021,,,28/9/2021,258
09/27/2021,9,27,2021,,,27/9/2021,261.7
09/24/2021,9,24,2021,,,24/9/2021,260.4
09/23/2021,9,23,2021,,,23/9/2021,266.5
09/22/2021,9,22,2021,,,22/9/2021,256.4
09/21/2021,9,21,2021,,,21/9/2021,251.5
09/20/2021,9,20,2021,,,20/9/2021,247.3
09/17/2021,9,17,2021,,,17/9/2021,247.7
09/16/2021,9,16,2021,,,16/9/2021,254.9
09/15/2021,9,15,2021,,,15/9/2021,252.4
09/14/2021,9,14,2021,,,14/9/2021,259.8
09/13/2021,9,13,2021,,,13/9/2021,260.8
09-10-2021,9,,,10,2021,10/9/2021,250
09-09-2021,9,,,9,2021,9/9/2021,252.4
09-08-2021,9,,,8,2021,8/9/2021,252.5
09-07-2021,9,,,7,2021,7/9/2021,264.4
09-06-2021,9,,,6,2021,6/9/2021,263.9
09-03-2021,9,,,3,2021,3/9/2021,265.5
09-02-2021,9,,,2,2021,2/9/2021,265.6
09-01-2021,9,,,1,2021,1/9/2021,256.6
08/31/2021,8,31,2021,,,31/8/2021,254.3
08/30/2021,8,30,2021,,,30/8/2021,255
08/27/2021,8,27,2021,,,27/8/2021,254.8
08/26/2021,8,26,2021,,,26/8/2021,258.4
08/25/2021,8,25,2021,,,25/8/2021,256.5
08/24/2021,8,24,2021,,,24/8/2021,259.9
08/23/2021,8,23,2021,,,23/8/2021,255.6
08/20/2021,8,20,2021,,,20/8/2021,252.1
08/19/2021,8,19,2021,,,19/8/2021,248.6
08/18/2021,8,18,2021,,,18/8/2021,244.4
08/17/2021,8,17,2021,,,17/8/2021,237.8
08/16/2021,8,16,2021,,,16/8/2021,241.1
08/13/2021,8,13,2021,,,13/8/2021,241.6
08-12-2021,8,,,12,2021,12/8/2021,233
08-11-2021,8,,,11,2021,11/8/2021,242
08-10-2021,8,,,10,2021,10/8/2021,247.2
08-09-2021,8,,,9,2021,9/8/2021,250.2
08-06-2021,8,,,6,2021,6/8/2021,248.7
08-05-2021,8,,,5,2021,5/8/2021,245.7
08-04-2021,8,,,4,2021,4/8/2021,245.4
08-03-2021,8,,,3,2021,3/8/2021,239
08-02-2021,8,,,2,2021,2/8/2021,236
07/30/2021,7,30,2021,,,30/7/2021,231.2
07/29/2021,7,29,2021,,,29/7/2021,230.1
07/28/2021,7,28,2021,,,28/7/2021,231.8
07/27/2021,7,27,2021,,,27/7/2021,227.9
07/26/2021,7,26,2021,,,26/7/2021,233.8
07/23/2021,7,23,2021,,,23/7/2021,234
07/22/2021,7,22,2021,,,22/7/2021,246.4
07/21/2021,7,21,2021,,,21/7/2021,236.8
07/20/2021,7,20,2021,,,20/7/2021,226.6
07/19/2021,7,19,2021,,,19/7/2021,228.4
07/16/2021,7,16,2021,,,16/7/2021,227
07/15/2021,7,15,2021,,,15/7/2021,229.1
07/14/2021,7,14,2021,,,14/7/2021,244.8
07/13/2021,7,13,2021,,,13/7/2021,247.8
07-12-2021,7,,,12,2021,12/7/2021,248.9
07-09-2021,7,,,9,2021,9/7/2021,241.7
07-08-2021,7,,,8,2021,8/7/2021,246.5
07-07-2021,7,,,7,2021,7/7/2021,253
07-06-2021,7,,,6,2021,6/7/2021,251.2
07-05-2021,7,,,5,2021,5/7/2021,245.3
07-02-2021,7,,,2,2021,2/7/2021,245.6
07-01-2021,7,,,1,2021,1/7/2021,254
06/30/2021,6,30,2021,,,30/6/2021,244.8
06/29/2021,6,29,2021,,,29/6/2021,248.8
06/28/2021,6,28,2021,,,28/6/2021,235.2
06/25/2021,6,25,2021,,,25/6/2021,233.9
06/24/2021,6,24,2021,,,24/6/2021,233.7
06/23/2021,6,23,2021,,,23/6/2021,227.9
06/22/2021,6,22,2021,,,22/6/2021,231.7
06/21/2021,6,21,2021,,,21/6/2021,231.6
06/18/2021,6,18,2021,,,18/6/2021,228.9
06/17/2021,6,17,2021,,,17/6/2021,234.1
06/16/2021,6,16,2021,,,16/6/2021,235.6
06/15/2021,6,15,2021,,,15/6/2021,226.2
06/14/2021,6,14,2021,,,14/6/2021,224.3
06-11-2021,6,,,11,2021,11/6/2021,213.7
06-10-2021,6,,,10,2021,10/6/2021,215.8
06-09-2021,6,,,9,2021,9/6/2021,217.8
06-08-2021,6,,,8,2021,8/6/2021,217.4
06-07-2021,6,,,7,2021,7/6/2021,220.9
06-04-2021,6,,,4,2021,4/6/2021,225.6
06-03-2021,6,,,3,2021,3/6/2021,223.9
06-02-2021,6,,,2,2021,2/6/2021,226.1
06-01-2021,6,,,1,2021,1/6/2021,238.4
05/31/2021,5,31,2021,,,31/5/2021,236.8
05/28/2021,5,28,2021,,,28/5/2021,238.8
05/27/2021,5,27,2021,,,27/5/2021,233.9
05/26/2021,5,26,2021,,,26/5/2021,235.2
05/25/2021,5,25,2021,,,25/5/2021,235
05/21/2021,5,21,2021,,,21/5/2021,232.1
05/20/2021,5,20,2021,,,20/5/2021,231
05/19/2021,5,19,2021,,,19/5/2021,226.6
05/18/2021,5,18,2021,,,18/5/2021,231.4
05/17/2021,5,17,2021,,,17/5/2021,227
05-12-2021,5,,,12,2021,12/5/2021,226.5
05-11-2021,5,,,11,2021,11/5/2021,228.7
05-10-2021,5,,,10,2021,10/5/2021,235.8
05-07-2021,5,,,7,2021,7/5/2021,245
05-06-2021,5,,,6,2021,6/5/2021,232.4
05-05-2021,5,,,5,2021,5/5/2021,248.8
05-04-2021,5,,,4,2021,4/5/2021,230.4
05-03-2021,5,,,3,2021,3/5/2021,247
04/29/2021,4,29,2021,,,29/4/2021,258.2
04/28/2021,4,28,2021,,,28/4/2021,266.1
04/27/2021,4,27,2021,,,27/4/2021,276.4
04/26/2021,4,26,2021,,,26/4/2021,265.3
04/23/2021,4,23,2021,,,23/4/2021,262.8
04/22/2021,4,22,2021,,,22/4/2021,265.6
04/21/2021,4,21,2021,,,21/4/2021,241
04/20/2021,4,20,2021,,,20/4/2021,236.3
04/19/2021,4,19,2021,,,19/4/2021,244.5
04/16/2021,4,16,2021,,,16/4/2021,248
04/15/2021,4,15,2021,,,15/4/2021,242.6
04/14/2021,4,14,2021,,,14/4/2021,237.8
04/13/2021,4,13,2021,,,13/4/2021,240
04-12-2021,4,,,12,2021,12/4/2021,240
04-09-2021,4,,,9,2021,9/4/2021,251
04-08-2021,4,,,8,2021,8/4/2021,250.8
04-07-2021,4,,,7,2021,7/4/2021,245
04-06-2021,4,,,6,2021,6/4/2021,249.8
03/31/2021,3,31,2021,,,31/3/2021,260.4
03/30/2021,3,30,2021,,,30/3/2021,249
03/29/2021,3,29,2021,,,29/3/2021,243.4
03/26/2021,3,26,2021,,,26/3/2021,237.4
03/25/2021,3,25,2021,,,25/3/2021,227.7
03/24/2021,3,24,2021,,,24/3/2021,226.5
03/23/2021,3,23,2021,,,23/3/2021,230.1
03/22/2021,3,22,2021,,,22/3/2021,227.1
03/19/2021,3,19,2021,,,19/3/2021,223.1
03/18/2021,3,18,2021,,,18/3/2021,219.5
03/17/2021,3,17,2021,,,17/3/2021,220.6
03/16/2021,3,16,2021,,,16/3/2021,234.2
03/15/2021,3,15,2021,,,15/3/2021,233
03-12-2021,3,,,12,2021,12/3/2021,234.6
03-11-2021,3,,,11,2021,11/3/2021,237.8
03-10-2021,3,,,10,2021,10/3/2021,229.9
03-09-2021,3,,,9,2021,9/3/2021,227.5
03-08-2021,3,,,8,2021,8/3/2021,213.3
03-05-2021,3,,,5,2021,5/3/2021,208.5
03-04-2021,3,,,4,2021,4/3/2021,217
03-03-2021,3,,,3,2021,3/3/2021,218
03-02-2021,3,,,2,2021,2/3/2021,229.8
03-01-2021,3,,,1,2021,1/3/2021,234.7
02/26/2021,2,26,2021,,,26/2/2021,230.9
02/25/2021,2,25,2021,,,25/2/2021,236.7
02/24/2021,2,24,2021,,,24/2/2021,226
02/23/2021,2,23,2021,,,23/2/2021,237.6
02/22/2021,2,22,2021,,,22/2/2021,246.1
02/19/2021,2,19,2021,,,19/2/2021,254.9
02/18/2021,2,18,2021,,,18/2/2021,259.5
02/17/2021,2,17,2021,,,17/2/2021,267.1
02/16/2021,2,16,2021,,,16/2/2021,273.3
02/15/2021,2,15,2021,,,15/2/2021,264.2
02-12-2021,2,,,12,2021,12/2/2021,260.2
02-11-2021,2,,,11,2021,11/2/2021,260
02-10-2021,2,,,10,2021,10/2/2021,245.7
02-09-2021,2,,,9,2021,9/2/2021,255.6
02-08-2021,2,,,8,2021,8/2/2021,265.8
02-05-2021,2,,,5,2021,5/2/2021,267.2
02-04-2021,2,,,4,2021,4/2/2021,267.8
02-03-2021,2,,,3,2021,3/2/2021,275.2
02-02-2021,2,,,2,2021,2/2/2021,270.6
02-01-2021,2,,,1,2021,1/2/2021,265.6
01/29/2021,1,29,2021,,,29/1/2021,266.8
01/28/2021,1,28,2021,,,28/1/2021,272
01/27/2021,1,27,2021,,,27/1/2021,265.3
01/26/2021,1,26,2021,,,26/1/2021,281
01/25/2021,1,25,2021,,,25/1/2021,291
01/22/2021,1,22,2021,,,22/1/2021,292.6
01/21/2021,1,21,2021,,,21/1/2021,297.9
01/20/2021,1,20,2021,,,20/1/2021,286.6
01/19/2021,1,19,2021,,,19/1/2021,285.1
01/18/2021,1,18,2021,,,18/1/2021,275.2
01/15/2021,1,15,2021,,,15/1/2021,272.6
01/14/2021,1,14,2021,,,14/1/2021,289.2
01/13/2021,1,13,2021,,,13/1/2021,291.8
01-12-2021,1,,,12,2021,12/1/2021,285.1
01-11-2021,1,,,11,2021,11/1/2021,304.3
01-08-2021,1,,,8,2021,8/1/2021,312
01-07-2021,1,,,7,2021,7/1/2021,312
